student_id,gender,age,department,course,historical_grade,previous_grade,assignment_score,quiz_score,midterm_score,attendance_percentage,lms_login_count,lms_activity_count,study_hours,performance_status
S0852,Female,22,Computer Science,CS101,56.8,53.0,71.2,62.7,46.5,73.6,38,49,14.2,PASS
S0853,Male,28,Computer Science,BUS101,54.1,52.7,46.4,42.0,21.7,87.7,39,59,11.6,FAIL
S0854,Female,23,Computer Science,CS201,46.5,46.5,51.4,38.8,14.5,72.0,27,83,11.3,FAIL
S0855,Male,22,Mathematics,CS101,89.6,79.4,85.6,76.3,65.2,92.6,47,115,18.6,PASS
S0856,Male,24,Business,ENG101,80.8,83.2,61.7,51.8,69.0,81.0,38,93,19.7,PASS
S0857,Male,29,Computer Science,ENG101,79.0,79.7,97.2,61.7,57.6,72.1,52,101,16.2,PASS
S0858,Male,19,Engineering,CS201,72.2,76.9,60.0,43.9,47.3,86.8,33,82,13.4,PASS
S0859,Female,22,Engineering,CS201,80.6,84.5,67.2,56.1,48.4,99.3,56,86,15.5,PASS
S0860,Male,27,Computer Science,CS101,91.4,96.8,80.6,64.9,89.2,91.5,47,87,18.3,PASS
S0861,Female,20,Business,BUS101,65.0,73.4,58.5,26.2,49.0,85.6,45,61,10.8,PASS
S0862,Male,26,Business,MATH101,72.5,73.2,92.9,56.0,41.1,88.1,32,94,13.0,PASS
S0863,Female,23,Business,ENG101,47.7,36.7,52.7,58.2,52.4,91.0,32,71,12.0,FAIL
S0864,Male,27,Business,CS201,90.1,94.4,75.9,81.1,74.7,83.9,60,112,23.6,PASS
S0865,Male,20,Computer Science,MATH101,76.7,82.7,59.4,66.6,28.8,60.8,39,97,18.8,PASS
S0866,Female,24,Physics,MATH101,67.4,66.3,66.2,70.0,25.7,92.8,43,92,14.8,PASS
S0867,Male,21,Mathematics,MATH101,59.8,49.8,42.4,55.9,33.4,63.2,35,80,11.1,FAIL
S0868,Male,20,Physics,BUS101,80.1,85.3,55.7,55.4,63.4,79.2,40,70,12.7,PASS
S0869,Female,25,Computer Science,CS201,74.9,74.8,57.7,66.7,38.0,74.5,52,71,19.4,PASS
S0870,Female,21,Physics,ENG101,53.9,47.2,42.7,46.7,20.1,68.2,47,72,15.4,FAIL
S0871,Male,28,Mathematics,CS201,58.9,57.5,38.6,36.4,45.1,86.8,23,94,15.5,FAIL
S0872,Male,18,Mathematics,CS101,45.1,45.1,44.0,39.8,3.9,80.5,29,83,11.1,FAIL
S0873,Female,23,Computer Science,ENG101,82.2,80.9,59.3,67.3,45.1,76.2,36,130,15.0,PASS
S0874,Male,27,Business,CS201,93.7,91.1,81.6,82.2,43.3,100.0,51,80,15.3,PASS
S0875,Male,28,Physics,ENG101,67.9,72.7,61.8,58.7,40.6,77.9,44,97,15.7,PASS
S0876,Male,28,Business,CS101,69.3,76.0,85.4,26.7,30.2,99.5,35,70,11.2,PASS
S0877,Female,18,Business,PHY101,98.1,100.0,81.7,79.7,57.0,85.6,45,114,20.8,PASS
S0878,Female,22,Physics,ENG101,71.4,66.4,58.6,50.1,47.9,77.0,43,89,15.6,PASS
S0879,Male,24,Engineering,PHY101,67.8,74.3,49.6,71.7,42.2,76.7,38,61,15.1,PASS
S0880,Male,23,Business,MATH101,63.2,64.2,52.6,64.8,31.5,69.9,46,80,14.3,PASS
S0881,Male,19,Engineering,BUS101,71.0,72.9,58.8,73.9,38.5,86.9,35,106,15.9,PASS
S0882,Female,28,Physics,CS101,67.8,73.9,37.9,56.0,67.7,73.5,45,84,18.9,PASS
S0883,Male,21,Computer Science,ENG101,88.3,88.0,81.7,86.5,63.6,83.8,45,100,18.2,PASS
S0884,Male,28,Engineering,CS101,48.8,47.9,46.6,50.7,26.5,79.4,43,86,11.9,PASS
S0885,Female,19,Business,MATH101,89.3,85.8,61.4,73.7,55.7,100.0,50,88,18.6,PASS
S0886,Male,28,Mathematics,PHY101,46.7,40.9,41.0,2.2,33.4,67.3,23,97,10.9,FAIL
S0887,Female,18,Business,BUS101,58.9,55.7,53.0,45.8,26.2,72.2,30,85,10.3,FAIL
S0888,Male,20,Physics,CS101,81.7,82.5,66.4,64.8,49.0,78.4,36,110,18.8,PASS
S0889,Male,20,Physics,PHY101,44.5,44.2,58.0,42.5,13.8,77.9,31,78,5.9,FAIL
S0890,Male,29,Computer Science,MATH101,80.4,78.5,69.7,54.5,36.3,79.3,42,91,16.0,PASS
S0891,Female,24,Engineering,MATH101,100.0,98.3,63.3,84.0,70.5,81.1,51,90,18.0,PASS
S0892,Female,18,Computer Science,MATH101,71.7,77.0,53.0,74.2,55.1,82.5,53,98,11.3,PASS
S0893,Female,26,Engineering,PHY101,96.9,97.8,86.2,64.3,72.0,94.9,54,92,22.9,PASS
S0894,Male,28,Engineering,ENG101,88.3,83.3,72.5,50.8,52.1,81.6,45,88,17.6,PASS
S0895,Female,23,Physics,CS201,83.7,84.0,68.3,71.9,44.3,86.1,40,59,18.8,PASS
S0896,Male,21,Mathematics,CS101,68.4,71.5,56.3,66.4,41.2,83.2,48,71,16.8,PASS
S0897,Male,20,Computer Science,CS201,63.9,68.6,66.0,57.7,16.8,79.1,45,71,14.5,PASS
S0898,Female,20,Computer Science,MATH101,56.5,59.3,41.9,36.6,50.6,80.2,52,77,18.2,PASS
S0899,Male,19,Business,CS201,94.9,99.1,82.9,100.0,24.4,80.0,55,106,20.6,PASS
S0900,Male,19,Engineering,PHY101,71.0,73.6,60.2,30.0,54.3,70.8,40,77,16.7,PASS
S0901,Male,29,Computer Science,MATH101,66.9,56.9,68.3,69.0,28.3,72.0,48,75,17.9,PASS
S0902,Male,27,Mathematics,MATH101,59.5,58.7,58.0,49.8,35.6,54.5,52,101,13.9,PASS
S0903,Male,22,Physics,BUS101,59.7,59.3,83.3,99.3,25.6,66.0,34,94,13.7,PASS
S0904,Female,26,Engineering,BUS101,45.7,55.9,32.3,53.4,17.4,80.7,28,69,14.4,FAIL
S0905,Male,19,Mathematics,PHY101,72.5,76.3,68.6,71.0,14.2,88.4,33,79,14.6,PASS
S0906,Female,19,Engineering,PHY101,84.1,82.7,65.3,69.1,35.2,72.1,44,76,16.0,PASS
S0907,Female,29,Business,CS201,48.3,44.5,42.6,17.9,39.9,57.4,30,81,9.1,FAIL
S0908,Male,23,Engineering,CS101,65.6,63.9,80.1,63.4,24.7,79.9,39,105,12.3,PASS
S0909,Male,27,Computer Science,CS201,58.1,54.0,44.1,55.4,19.6,82.7,36,72,14.1,PASS
S0910,Male,19,Physics,PHY101,80.2,91.1,71.1,68.8,46.8,76.2,48,92,23.0,PASS
S0911,Female,29,Engineering,CS101,100.0,99.9,92.1,95.8,32.1,84.1,57,106,17.8,PASS
S0912,Male,21,Business,CS201,69.7,73.9,51.2,61.5,37.6,88.7,44,75,15.9,PASS
S0913,Female,23,Engineering,ENG101,70.4,73.0,60.3,58.9,45.3,97.9,43,69,16.8,PASS
S0914,Male,22,Computer Science,ENG101,83.7,87.0,88.1,53.2,54.7,79.2,47,73,15.6,PASS
S0915,Female,18,Computer Science,CS101,67.3,62.9,86.9,43.6,27.9,85.8,33,102,16.8,PASS
S0916,Male,23,Engineering,BUS101,44.2,50.9,57.7,39.5,41.0,72.9,38,68,8.2,FAIL
S0917,Male,18,Business,CS101,35.2,34.7,42.1,33.9,33.4,81.5,32,84,7.4,FAIL
S0918,Female,20,Engineering,CS201,65.3,72.8,62.0,39.6,18.5,68.3,21,85,14.3,PASS
S0919,Female,27,Business,MATH101,55.6,57.7,74.1,44.8,41.9,76.9,39,107,9.8,PASS
S0920,Male,22,Business,ENG101,66.8,75.6,60.4,44.0,41.9,73.6,39,64,10.7,PASS
S0921,Female,27,Business,MATH101,84.8,87.8,54.0,65.5,57.0,84.8,50,107,12.3,PASS
S0922,Male,22,Engineering,ENG101,67.8,66.9,55.6,52.9,33.3,89.1,45,79,14.0,PASS
S0923,Female,27,Physics,CS201,73.5,80.5,70.8,91.8,28.6,81.9,52,64,22.5,PASS
S0924,Female,23,Engineering,ENG101,42.4,43.1,47.3,25.8,23.7,65.1,27,63,14.6,FAIL
S0925,Male,29,Engineering,CS101,85.9,88.6,67.9,71.6,56.1,94.9,33,52,12.5,PASS
S0926,Male,27,Computer Science,MATH101,86.7,87.1,91.5,73.3,56.8,91.1,57,67,14.3,PASS
S0927,Male,25,Engineering,PHY101,75.8,73.1,60.7,75.1,49.6,85.1,51,98,15.0,PASS
S0928,Female,22,Computer Science,MATH101,53.1,52.3,55.3,50.5,19.0,63.9,31,75,13.4,PASS
S0929,Female,28,Business,CS201,73.2,76.8,60.0,68.8,60.4,86.9,38,95,16.3,PASS
S0930,Male,18,Computer Science,PHY101,75.0,79.8,50.9,59.8,59.3,76.0,43,93,15.5,PASS
S0931,Male,22,Engineering,MATH101,100.0,89.9,82.5,74.9,63.0,80.1,50,100,18.7,PASS
S0932,Female,20,Mathematics,CS201,56.2,57.8,41.3,26.5,22.3,67.6,30,93,8.7,FAIL
S0933,Female,21,Engineering,BUS101,64.8,64.4,68.2,38.8,42.0,85.3,45,61,12.1,PASS
S0934,Female,25,Computer Science,CS101,81.2,74.4,67.8,40.9,43.6,89.0,46,105,15.1,PASS
S0935,Male,24,Computer Science,ENG101,53.9,58.1,56.7,76.9,28.1,76.3,25,74,7.0,PASS
S0936,Male,28,Mathematics,ENG101,82.1,91.2,64.3,79.1,57.3,63.1,45,92,14.5,PASS
S0937,Male,22,Computer Science,ENG101,73.7,81.1,54.2,65.0,39.2,92.9,47,108,20.0,PASS
S0938,Female,19,Engineering,BUS101,42.7,31.1,43.5,58.6,42.6,81.3,28,50,10.5,PASS
S0939,Male,23,Engineering,CS101,58.8,60.5,64.8,41.3,42.9,72.1,36,88,14.8,PASS
S0940,Female,28,Business,MATH101,63.1,59.8,54.1,71.6,49.9,92.5,40,66,19.4,PASS
S0941,Male,23,Business,MATH101,30.8,28.6,36.7,39.0,7.7,59.4,14,87,14.1,FAIL
S0942,Female,27,Mathematics,CS101,84.4,83.1,65.1,66.4,43.2,86.2,44,120,14.1,PASS
S0943,Female,27,Computer Science,PHY101,63.8,52.7,61.5,73.5,23.4,80.2,42,92,15.5,PASS
S0944,Female,28,Computer Science,CS101,60.3,50.0,56.3,66.1,52.0,80.4,39,95,16.6,PASS
S0945,Male,23,Computer Science,ENG101,91.0,91.4,77.1,52.0,89.1,73.4,58,64,16.3,PASS
S0946,Male,26,Computer Science,MATH101,82.3,83.6,66.9,73.4,55.6,69.0,50,81,18.7,PASS
S0947,Male,28,Computer Science,CS101,60.1,59.1,54.1,45.1,39.2,77.1,35,80,13.7,PASS
S0948,Female,25,Engineering,MATH101,78.3,72.1,78.9,69.4,41.3,74.7,43,94,18.3,PASS
S0949,Female,25,Engineering,CS101,88.0,86.0,96.8,68.8,72.2,89.7,49,87,18.9,PASS
S0950,Female,18,Business,CS201,73.8,81.0,65.5,45.4,43.7,83.4,21,80,18.9,PASS
S0951,Female,22,Engineering,ENG101,78.3,76.5,68.4,43.1,39.2,96.8,31,78,14.2,PASS
S0952,Female,24,Business,CS101,72.3,69.8,61.1,53.6,25.7,94.7,41,87,16.6,PASS
S0953,Male,23,Engineering,BUS101,63.8,70.0,65.8,53.1,25.8,79.7,54,68,19.6,PASS
S0954,Female,22,Computer Science,CS101,77.8,76.7,62.0,64.5,47.5,98.3,42,60,18.3,PASS
S0955,Male,25,Engineering,CS201,52.1,55.5,60.3,53.5,9.2,77.7,44,34,15.1,PASS
S0956,Male,20,Computer Science,BUS101,66.3,68.6,60.0,69.5,25.1,79.5,28,91,11.7,PASS
S0957,Male,23,Computer Science,BUS101,72.2,67.7,65.5,61.0,63.3,98.7,38,88,9.9,PASS
S0958,Male,22,Engineering,CS101,65.4,60.4,71.6,88.0,49.2,70.1,34,83,14.5,PASS
S0959,Male,25,Physics,CS201,74.1,67.3,52.3,70.2,40.5,66.7,45,102,19.4,PASS
S0960,Female,21,Business,BUS101,65.2,60.2,55.9,38.9,50.4,77.2,47,59,13.7,PASS
S0961,Male,25,Computer Science,ENG101,83.6,87.7,66.4,45.8,41.0,86.9,43,90,16.5,PASS
S0962,Female,27,Mathematics,PHY101,86.6,82.5,69.7,73.6,61.3,92.3,43,115,15.5,PASS
S0963,Male,19,Business,ENG101,56.3,55.6,41.1,45.9,29.4,65.5,48,72,11.7,FAIL
S0964,Male,26,Business,MATH101,93.7,92.3,79.5,63.6,79.8,86.5,60,94,18.2,PASS
S0965,Male,26,Mathematics,MATH101,50.3,52.2,42.7,48.4,16.5,62.9,32,90,15.7,FAIL
S0966,Male,27,Engineering,CS201,99.0,92.2,79.5,69.7,77.7,86.8,49,96,24.0,PASS
S0967,Female,27,Computer Science,BUS101,52.2,57.6,46.8,45.1,29.8,89.0,38,49,10.7,PASS
S0968,Male,23,Engineering,ENG101,82.7,89.9,60.8,75.7,27.1,86.3,48,89,13.5,PASS
S0969,Female,21,Engineering,ENG101,70.4,70.2,70.3,66.7,45.9,71.6,43,75,13.7,PASS
S0970,Male,21,Engineering,PHY101,53.1,41.9,39.5,58.9,40.2,56.3,20,58,12.9,FAIL
S0971,Female,23,Business,CS201,72.0,67.7,67.5,87.6,61.2,77.9,45,106,17.1,PASS
S0972,Female,22,Physics,BUS101,62.7,64.3,75.2,69.0,46.8,78.6,54,84,11.4,PASS
S0973,Female,23,Physics,CS201,82.9,84.7,62.6,69.2,38.6,84.9,32,106,24.9,PASS
S0974,Male,24,Mathematics,CS101,62.3,61.0,69.6,61.4,49.8,65.5,26,58,13.3,PASS
S0975,Male,24,Mathematics,ENG101,67.3,72.8,46.9,66.3,41.1,82.1,30,79,15.4,PASS
S0976,Male,26,Physics,CS201,79.2,76.3,79.5,83.6,28.5,65.8,49,103,18.2,PASS
S0977,Female,25,Computer Science,CS201,69.0,73.9,78.2,55.1,40.4,81.9,26,92,12.1,PASS
S0978,Male,23,Computer Science,PHY101,67.6,67.6,46.1,38.7,26.4,78.7,49,102,18.4,PASS
S0979,Male,29,Engineering,CS101,76.7,73.9,59.6,49.2,44.4,89.6,35,82,21.7,PASS
S0980,Female,23,Mathematics,MATH101,36.9,40.5,40.4,43.9,30.9,82.1,38,70,8.0,FAIL
S0981,Male,22,Engineering,ENG101,71.9,71.7,66.5,46.3,29.6,58.2,37,89,18.2,PASS
S0982,Female,18,Business,PHY101,95.1,99.5,71.6,70.9,60.6,95.2,43,102,18.2,PASS
S0983,Male,26,Computer Science,CS201,68.5,83.0,62.7,32.7,54.1,91.1,44,86,13.8,PASS
S0984,Male,26,Computer Science,ENG101,79.5,74.8,78.6,89.6,40.2,90.7,48,83,16.6,PASS
S0985,Female,26,Business,MATH101,89.4,93.8,72.9,51.7,50.2,81.4,41,107,18.4,PASS
S0986,Male,28,Computer Science,CS201,76.9,80.1,53.6,54.9,59.0,94.0,45,98,17.6,PASS
S0987,Female,25,Engineering,CS101,100.0,100.0,99.0,70.7,73.4,84.4,55,104,22.2,PASS
S0988,Male,27,Computer Science,ENG101,96.4,100.0,85.6,91.1,43.9,78.1,34,88,18.6,PASS
S0989,Male,20,Engineering,PHY101,86.7,94.5,59.8,66.2,39.5,85.8,45,89,17.9,PASS
S0990,Female,18,Business,CS101,87.3,82.3,67.4,50.8,61.8,85.0,45,71,22.3,PASS
S0991,Female,28,Engineering,MATH101,63.8,57.4,69.8,56.6,35.5,87.9,24,75,11.9,PASS
S0992,Female,29,Business,MATH101,55.5,50.8,48.1,54.1,31.4,69.8,37,78,14.6,FAIL
S0993,Male,29,Computer Science,ENG101,71.2,70.4,83.8,72.6,21.6,82.7,41,100,12.2,PASS
S0994,Female,25,Mathematics,MATH101,65.3,72.2,52.9,44.9,33.7,68.1,46,73,16.9,PASS
S0995,Male,24,Engineering,BUS101,44.3,52.3,57.1,60.5,24.6,86.7,37,65,11.2,PASS
S0996,Male,22,Business,PHY101,60.9,59.1,29.8,53.5,45.2,84.1,50,94,12.9,PASS
S0997,Female,27,Business,ENG101,55.0,54.5,66.4,70.9,28.6,53.8,39,96,8.9,PASS
S0998,Male,24,Computer Science,BUS101,100.0,94.1,67.2,75.5,68.7,100.0,42,97,20.4,PASS
S0999,Female,27,Mathematics,MATH101,88.9,89.3,87.1,67.6,51.3,88.3,43,104,18.2,PASS
S1000,Male,21,Business,ENG101,67.4,66.4,53.8,58.4,55.5,81.1,48,71,16.8,PASS
S1001,Male,26,Engineering,BUS101,84.0,83.0,88.8,79.2,50.2,100.0,52,95,14.6,PASS
S1002,Female,28,Computer Science,MATH101,79.1,85.0,72.4,73.5,41.3,67.4,50,89,21.1,PASS
S1003,Female,27,Physics,CS201,42.8,44.8,64.7,42.5,16.9,77.2,40,55,9.6,FAIL
S1004,Female,19,Mathematics,CS201,44.6,38.0,49.1,80.4,14.3,69.8,36,77,8.8,FAIL
S1005,Female,26,Computer Science,CS101,80.0,67.2,62.4,62.8,51.8,74.8,45,83,19.2,PASS
S1006,Female,26,Engineering,CS201,49.8,52.6,39.5,40.2,53.4,88.4,34,101,11.1,PASS
S1007,Female,22,Mathematics,BUS101,66.3,67.5,69.5,71.4,49.2,71.1,48,74,19.7,PASS
S1008,Female,28,Business,PHY101,54.9,56.8,85.3,50.9,37.9,70.6,39,52,8.9,PASS
S1009,Male,18,Mathematics,CS201,78.0,79.1,82.1,49.3,32.0,86.4,27,90,16.2,PASS
S1010,Male,24,Engineering,ENG101,72.5,66.8,62.8,72.3,29.3,93.7,45,97,20.0,PASS
S1011,Male,27,Business,ENG101,73.1,72.1,80.9,89.4,55.2,78.7,49,82,16.2,PASS
S1012,Female,27,Engineering,ENG101,28.5,27.0,39.4,24.6,22.7,76.7,22,71,6.6,FAIL
S1013,Female,21,Computer Science,CS201,96.9,96.5,76.1,85.9,50.5,100.0,45,110,19.7,PASS
S1014,Male,26,Business,CS201,100.0,100.0,74.4,61.4,39.4,100.0,50,95,19.8,PASS
S1015,Female,23,Physics,CS101,77.6,74.8,71.5,45.1,44.2,95.7,55,128,19.9,PASS
S1016,Female,20,Engineering,PHY101,90.6,84.8,76.5,76.8,43.6,99.6,45,92,23.8,PASS
S1017,Male,23,Engineering,PHY101,73.6,80.3,72.4,40.7,37.8,91.9,40,115,15.4,PASS
S1018,Female,27,Business,MATH101,65.8,62.1,56.6,44.8,24.1,66.5,44,97,14.1,PASS
S1019,Female,23,Engineering,CS101,69.0,74.7,65.5,61.1,51.0,84.8,42,110,14.1,PASS
S1020,Male,22,Mathematics,BUS101,64.3,75.1,63.1,62.5,31.3,83.6,34,94,15.4,PASS
S1021,Female,19,Mathematics,ENG101,74.2,81.7,72.7,81.9,50.6,88.0,43,94,17.7,PASS
S1022,Male,27,Computer Science,CS201,74.8,78.1,73.5,58.9,49.5,73.7,43,76,17.2,PASS
S1023,Female,27,Physics,MATH101,69.5,68.5,61.2,77.7,34.7,86.7,51,78,11.4,PASS
S1024,Female,19,Mathematics,MATH101,84.1,88.6,75.4,63.2,48.2,95.5,38,78,14.4,PASS
S1025,Female,24,Mathematics,CS201,71.2,71.0,54.9,52.2,63.8,84.2,42,91,19.6,PASS
S1026,Male,19,Business,CS101,81.2,88.3,80.1,78.0,36.4,73.7,49,108,13.3,PASS
S1027,Female,29,Mathematics,MATH101,100.0,100.0,95.5,99.0,49.9,84.1,59,103,18.6,PASS
S1028,Female,23,Computer Science,PHY101,79.4,81.3,89.8,60.4,22.4,87.9,39,99,22.6,PASS
S1029,Male,22,Engineering,CS101,80.2,80.4,70.5,52.7,46.3,85.5,59,109,17.4,PASS
S1030,Female,21,Mathematics,CS201,72.6,70.1,68.8,50.9,18.4,67.5,28,78,16.2,PASS
S1031,Male,24,Computer Science,CS101,60.7,60.6,62.9,35.7,30.5,81.5,26,91,12.8,PASS
S1032,Female,25,Computer Science,PHY101,59.0,60.4,66.4,56.4,13.7,66.7,39,99,15.1,PASS
S1033,Male,21,Mathematics,ENG101,19.4,18.1,24.1,9.4,20.4,55.7,13,74,10.8,FAIL
S1034,Male,18,Mathematics,CS201,56.7,58.2,59.8,59.3,32.0,65.8,32,101,14.7,PASS
S1035,Male,18,Computer Science,PHY101,74.2,79.1,41.2,55.1,4.5,67.4,46,107,15.5,PASS
S1036,Female,18,Mathematics,CS201,70.8,72.2,71.2,65.3,30.9,59.9,53,72,14.6,PASS
S1037,Male,28,Business,PHY101,58.6,55.9,71.7,61.4,29.4,64.0,40,74,13.7,PASS
S1038,Female,18,Engineering,PHY101,65.9,52.1,48.3,57.8,45.9,81.3,43,91,16.1,PASS
S1039,Male,22,Mathematics,MATH101,55.8,61.9,58.6,40.5,43.9,78.9,42,80,7.0,PASS
S1040,Male,21,Engineering,MATH101,41.5,40.9,53.7,42.2,29.6,69.1,20,38,12.5,FAIL
S1041,Female,26,Computer Science,MATH101,73.8,74.8,61.0,56.8,47.9,78.9,47,51,18.7,PASS
S1042,Female,20,Computer Science,ENG101,56.3,59.0,45.3,58.4,38.7,77.4,37,48,12.7,PASS
S1043,Male,24,Engineering,ENG101,69.8,72.5,40.0,51.1,49.6,74.4,35,99,13.4,PASS
S1044,Female,28,Engineering,PHY101,81.2,84.9,62.8,78.9,48.8,77.0,37,96,14.5,PASS
S1045,Female,25,Mathematics,BUS101,66.9,71.9,44.8,48.1,37.5,82.7,39,79,9.1,PASS
S1046,Female,23,Mathematics,CS201,75.3,79.1,67.5,54.8,47.4,93.8,49,79,16.3,PASS
S1047,Male,29,Business,MATH101,50.7,35.1,50.9,49.6,44.4,66.6,44,88,13.4,PASS
S1048,Male,27,Mathematics,CS201,69.8,71.7,50.6,87.9,13.7,81.8,40,95,17.9,PASS
S1049,Female,18,Computer Science,PHY101,50.7,52.0,60.8,66.8,2.9,65.6,44,52,20.1,FAIL
S1050,Male,25,Computer Science,CS101,44.5,43.2,64.3,47.7,33.4,77.7,25,58,11.9,PASS
S1051,Female,27,Mathematics,PHY101,86.4,88.8,85.4,75.1,41.1,100.0,42,88,21.1,PASS
S1052,Female,20,Computer Science,ENG101,53.6,53.7,36.5,35.6,33.0,82.0,50,69,8.2,FAIL
S1053,Female,25,Computer Science,BUS101,100.0,97.2,100.0,63.8,59.6,93.9,60,95,18.6,PASS
S1054,Female,29,Business,CS101,40.2,46.4,60.3,51.0,50.1,76.4,26,61,14.1,FAIL
S1055,Female,21,Engineering,CS201,93.3,95.1,62.0,65.6,64.1,89.5,54,85,19.4,PASS
S1056,Male,25,Mathematics,ENG101,81.3,82.1,61.8,58.2,60.8,81.5,40,96,20.6,PASS
S1057,Female,28,Computer Science,MATH101,65.0,54.6,62.1,56.4,35.3,66.4,37,87,18.0,PASS
S1058,Male,18,Computer Science,CS101,60.2,70.8,51.3,48.5,26.5,78.1,38,50,19.1,PASS
S1059,Male,20,Engineering,ENG101,70.0,60.7,82.7,55.8,31.9,80.2,30,75,17.7,PASS
S1060,Female,23,Business,CS201,100.0,100.0,88.9,85.4,74.7,88.7,52,72,19.6,PASS
S1061,Female,26,Engineering,PHY101,64.8,68.3,49.6,51.7,45.2,81.8,50,106,17.4,PASS
S1062,Female,19,Engineering,CS201,66.3,74.5,66.7,64.6,40.7,85.4,39,83,12.0,PASS
S1063,Female,28,Mathematics,CS101,59.2,54.4,57.9,49.8,56.1,81.9,33,74,20.3,PASS
S1064,Male,18,Physics,CS101,78.9,74.9,72.3,72.8,45.7,81.0,39,96,15.4,PASS
S1065,Male,27,Computer Science,PHY101,75.1,79.1,62.3,55.6,35.8,86.6,25,104,16.2,PASS
S1066,Female,20,Engineering,CS101,60.4,63.7,65.7,37.1,32.1,70.2,19,52,15.0,PASS
S1067,Male,21,Engineering,BUS101,70.9,79.4,71.7,53.9,55.4,65.1,56,73,17.7,PASS
S1068,Male,28,Physics,MATH101,51.2,56.6,58.4,55.7,14.3,70.1,32,76,16.4,PASS
S1069,Male,22,Physics,ENG101,97.9,96.3,95.0,76.6,58.2,89.4,42,81,17.3,PASS
S1070,Male,20,Computer Science,PHY101,57.3,56.8,42.3,56.7,53.7,60.0,30,69,10.1,PASS
S1071,Male,27,Business,CS201,100.0,100.0,100.0,99.5,64.9,91.0,50,73,17.5,PASS
S1072,Male,28,Engineering,CS201,78.7,71.0,78.7,82.5,44.8,85.4,42,76,17.4,PASS
S1073,Male,19,Computer Science,MATH101,74.3,77.1,62.4,79.8,67.7,90.5,45,75,18.2,PASS
S1074,Male,19,Computer Science,CS101,71.6,74.8,59.0,58.2,47.1,85.0,31,110,17.6,PASS
S1075,Female,24,Engineering,CS101,65.3,61.3,57.3,60.8,19.9,66.4,43,92,15.8,PASS
S1076,Male,26,Engineering,CS201,72.6,71.6,63.8,58.2,41.5,84.8,46,66,16.8,PASS
S1077,Male,27,Computer Science,MATH101,70.6,60.7,50.9,33.7,57.0,81.5,39,77,18.9,PASS
S1078,Female,19,Business,CS201,57.9,62.5,58.1,65.9,36.7,81.5,44,84,16.2,PASS
S1079,Male,24,Computer Science,CS101,100.0,100.0,90.2,93.6,78.6,100.0,60,88,15.8,PASS
S1080,Female,24,Business,PHY101,93.4,86.9,65.4,47.9,43.2,81.0,46,87,20.4,PASS
S1081,Female,28,Engineering,ENG101,98.7,93.4,75.1,70.4,58.2,86.6,49,124,21.6,PASS
S1082,Male,24,Computer Science,CS101,73.3,71.2,80.2,89.7,48.3,81.8,45,68,13.8,PASS
S1083,Male,20,Engineering,PHY101,61.9,66.1,72.4,56.6,22.2,73.9,44,112,16.7,PASS
S1084,Female,29,Computer Science,ENG101,48.9,51.4,56.5,32.6,29.3,55.3,41,56,12.2,PASS
S1085,Female,24,Engineering,BUS101,64.8,60.7,53.8,70.0,44.0,88.0,45,51,16.9,PASS
S1086,Male,18,Computer Science,MATH101,70.5,67.5,58.0,62.3,27.1,60.1,47,110,11.7,PASS
S1087,Female,27,Engineering,PHY101,92.3,92.6,74.9,87.0,37.6,90.6,49,101,15.6,PASS
S1088,Male,18,Computer Science,BUS101,75.4,71.4,79.7,60.5,59.5,69.8,49,85,19.3,PASS
S1089,Female,22,Business,CS101,100.0,97.4,100.0,63.8,61.4,79.9,56,106,22.4,PASS
S1090,Male,19,Mathematics,MATH101,74.3,77.8,61.6,77.4,16.5,88.5,41,66,9.9,PASS
S1091,Female,26,Computer Science,PHY101,67.1,60.9,63.8,52.6,32.1,92.6,51,75,14.5,PASS
S1092,Female,24,Engineering,CS101,57.8,57.1,58.0,48.8,35.6,80.5,26,93,6.4,PASS
S1093,Female,21,Computer Science,MATH101,69.0,67.9,54.7,78.5,14.1,78.0,42,74,21.3,PASS
S1094,Male,21,Business,MATH101,62.3,62.1,49.6,86.1,26.3,77.0,42,71,12.8,PASS
S1095,Male,19,Computer Science,CS101,75.0,76.3,62.8,56.7,41.1,95.1,42,105,15.4,PASS
S1096,Male,22,Engineering,CS101,61.7,64.8,59.9,58.1,33.2,90.3,53,80,12.1,PASS
S1097,Male,21,Engineering,PHY101,77.7,81.6,62.6,47.2,33.9,88.3,43,94,15.6,PASS
S1098,Male,29,Physics,MATH101,87.6,85.9,78.2,65.0,50.9,98.1,57,72,16.4,PASS
S1099,Female,18,Engineering,PHY101,40.1,39.3,40.4,63.4,19.2,67.3,28,70,14.6,FAIL
S1100,Male,29,Business,MATH101,64.8,66.6,60.9,63.2,36.6,86.4,38,103,14.2,PASS
S1101,Male,25,Engineering,PHY101,83.4,84.3,64.5,85.8,53.7,72.2,47,65,15.8,PASS
S1102,Female,20,Physics,CS101,85.5,88.4,72.3,50.1,29.0,80.6,45,78,19.1,PASS
S1103,Female,23,Mathematics,CS101,83.9,86.1,84.3,61.4,58.9,81.2,36,110,11.7,PASS
S1104,Female,21,Computer Science,CS201,86.9,82.8,94.6,57.6,58.5,97.6,49,99,16.2,PASS
S1105,Female,26,Mathematics,PHY101,68.9,78.3,50.7,48.4,47.2,78.6,41,72,14.7,PASS
